, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,99.000000,100.000000
mean,0.338508,0.167525,0.982455,0.989473,0.988704,0.983308,0.979860,0.230542,0.109220,0.985833,0.984167,0.988235,0.995613,0.984118
std,0.113438,1.234437,0.085920,0.059128,0.098490,0.102373,0.095434,0.015194,0.795081,0.081680,0.107547,0.100678,0.024994,0.085818
min,0.289879,0.000003,0.365269,0.642424,0.018519,0.036364,0.490741,0.198137,0.000015,0.291667,0.000000,0.000000,0.829268,0.500000
25%,0.315345,0.000016,1.000000,1.000000,1.000000,1.000000,1.000000,0.221090,0.000078,1.000000,1.000000,1.000000,1.000000,1.000000
50%,0.327869,0.000054,1.000000,1.000000,1.000000,1.000000,1.000000,0.228655,0.000236,1.000000,1.000000,1.000000,1.000000,1.000000
75%,0.339733,0.000252,1.000000,1.000000,1.000000,1.000000,1.000000,0.235628,0.000689,1.000000,1.000000,1.000000,1.000000,1.000000
max,1.449890,11.981247,1.000000,1.000000,1.000000,1.000000,1.000000,0.319033,7.704298,1.000000,1.000000,1.000000,1.000000,1.000000
