, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,0.929825,0.044977,0.964011,0.970295,0.978690,0.973859,0.954065,0.329104,0.131161,0.892500,0.940784,0.922683,0.931133,0.851341
std,0.119585,0.241156,0.076081,0.053029,0.067649,0.059445,0.088036,0.022525,0.056221,0.032352,0.026531,0.031018,0.021786,0.059539
min,0.816457,0.001958,0.456825,0.670659,0.444444,0.534606,0.465213,0.283123,0.067403,0.711538,0.788462,0.682927,0.788732,0.500000
25%,0.890003,0.003056,0.965181,0.966873,0.987103,0.975421,0.952344,0.314566,0.093280,0.903846,0.950000,0.926829,0.938272,0.872505
50%,0.917426,0.006255,0.991643,0.988235,1.000000,0.994083,0.985981,0.327564,0.122032,0.903846,0.950000,0.926829,0.938272,0.872505
75%,0.949313,0.019936,1.000000,1.000000,1.000000,1.000000,1.000000,0.338264,0.163991,0.903846,0.950000,0.926829,0.938272,0.872505
max,2.040083,2.402133,1.000000,1.000000,1.000000,1.000000,1.000000,0.415562,0.530420,0.903846,0.950000,1.000000,0.939759,0.872505
