, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,123.394279,0.107122,0.955768,0.956417,0.954796,0.955566,0.955759,1.044150,0.213609,0.891034,0.883992,0.920254,0.899019,0.890522
std,5.720429,0.102286,0.048771,0.051786,0.044462,0.048077,0.048729,0.051939,0.134211,0.073103,0.074302,0.033556,0.046795,0.074523
min,117.270696,0.034659,0.714309,0.690840,0.766126,0.726538,0.714785,0.944136,0.112936,0.508621,0.508621,0.822034,0.674286,0.500000
25%,121.366009,0.041034,0.951323,0.952188,0.949408,0.950796,0.951305,1.015897,0.141126,0.909483,0.897749,0.915254,0.911392,0.909084
50%,122.593536,0.060337,0.978835,0.980534,0.977037,0.978594,0.978815,1.039696,0.173080,0.913793,0.901639,0.923729,0.915966,0.913470
75%,123.728955,0.129877,0.983102,0.984557,0.981432,0.982921,0.983088,1.072876,0.217478,0.913793,0.908333,0.932203,0.916667,0.913619
max,162.941444,0.556601,0.984744,0.987047,0.983209,0.984565,0.984721,1.306365,0.897012,0.922414,0.923077,1.000000,0.925620,0.921945
