, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,99.000000,100.000000
mean,3.857699,0.307561,0.908743,0.916562,0.893220,0.895022,0.907961,0.460464,0.257382,0.887745,0.920452,0.855758,0.877553,0.887094
std,0.242862,1.610797,0.102988,0.102972,0.171863,0.136207,0.105289,0.037613,0.214790,0.103681,0.140162,0.197627,0.133401,0.104686
min,3.420635,0.023362,0.484926,0.451000,0.159641,0.260615,0.480871,0.397067,0.070958,0.510386,0.000000,0.000000,0.263158,0.500000
25%,3.681513,0.057875,0.878875,0.924157,0.912108,0.865737,0.877032,0.437748,0.129644,0.839021,0.925714,0.854545,0.845150,0.840323
50%,3.826741,0.088729,0.957749,0.949359,0.952915,0.955279,0.957553,0.455020,0.193159,0.931751,0.970060,0.915152,0.925566,0.930426
75%,4.007297,0.198130,0.971231,0.976754,0.988565,0.969975,0.971568,0.478874,0.321464,0.955490,1.000000,0.981818,0.954365,0.955100
max,5.051258,16.191856,0.991507,0.998172,1.000000,0.990975,0.991167,0.588354,1.721918,0.982196,1.000000,0.987879,0.981707,0.982065
