, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,99.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,0.443336,0.099272,0.978263,0.978313,0.979630,0.984237,0.977696,0.246752,0.106019,0.945417,0.994690,0.929412,0.956379,0.956849
std,0.108037,0.149703,0.091491,0.104392,0.136857,0.091267,0.077169,0.016622,0.123704,0.067445,0.030525,0.092726,0.087554,0.060332
min,0.376448,0.010608,0.353293,0.000000,0.000000,0.105263,0.500000,0.223097,0.028277,0.333333,0.809524,0.058824,0.111111,0.529412
25%,0.414192,0.017465,0.994012,0.990826,1.000000,0.995392,0.991525,0.237814,0.036234,0.958333,1.000000,0.941176,0.969697,0.970588
50%,0.431733,0.034063,0.994012,0.990826,1.000000,0.995392,0.991525,0.246212,0.053485,0.958333,1.000000,0.941176,0.969697,0.970588
75%,0.452937,0.105955,1.000000,1.000000,1.000000,1.000000,1.000000,0.252983,0.116977,0.958333,1.000000,0.941176,0.969697,0.970588
max,1.476797,0.845748,1.000000,1.000000,1.000000,1.000000,1.000000,0.358110,0.772558,0.958333,1.000000,1.000000,0.969697,0.970588
