, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,1.324621,0.040572,0.968468,0.973542,0.983413,0.975815,0.958342,0.403940,0.149384,0.939038,0.942534,0.983659,0.959068,0.878193
std,0.207454,0.175459,0.071749,0.045069,0.079392,0.069649,0.079156,0.037230,0.067525,0.070701,0.024640,0.088455,0.074200,0.065190
min,1.099219,0.002376,0.451253,0.711246,0.226190,0.366559,0.520360,0.339983,0.087594,0.326923,0.836735,0.146341,0.255319,0.573171
25%,1.206612,0.004039,0.977019,0.968449,1.000000,0.983895,0.961449,0.378821,0.105812,0.942308,0.931818,1.000000,0.964706,0.863636
50%,1.256532,0.008053,0.994429,0.992126,1.000000,0.996047,0.990654,0.399068,0.140770,0.961538,0.953488,1.000000,0.976190,0.909091
75%,1.337216,0.022476,1.000000,1.000000,1.000000,1.000000,1.000000,0.417148,0.178795,0.961538,0.953488,1.000000,0.976190,0.909091
max,2.578385,1.666057,1.000000,1.000000,1.000000,1.000000,1.000000,0.591804,0.692226,0.961538,1.000000,1.000000,0.976190,0.909091
