, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,6.668552,0.074267,0.955686,0.964349,0.940188,0.948718,0.954905,0.971285,0.175570,0.930831,0.965533,0.890303,0.922474,0.930006
std,0.266583,0.093729,0.073687,0.061137,0.116186,0.098713,0.075483,0.095683,0.104957,0.056801,0.037412,0.102500,0.087447,0.057611
min,6.144910,0.013277,0.586412,0.562890,0.210762,0.339841,0.585379,0.777221,0.107884,0.602374,0.736559,0.206061,0.336634,0.594309
25%,6.451618,0.022272,0.958811,0.963905,0.945291,0.956051,0.958175,0.899044,0.116947,0.933976,0.967267,0.895455,0.929974,0.933192
50%,6.646758,0.039732,0.981741,0.984566,0.976682,0.980622,0.981441,0.970943,0.133478,0.946588,0.980392,0.915152,0.943573,0.945886
75%,6.847130,0.082093,0.992887,0.996380,0.988341,0.992452,0.992624,1.033515,0.183118,0.955490,0.980769,0.927273,0.953271,0.954915
max,7.342476,0.628068,0.997877,0.999101,0.996413,0.997755,0.997803,1.263919,0.633360,0.964392,0.981132,0.945455,0.962963,0.964006
