, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,8.257132,0.072753,0.968769,0.973385,0.957839,0.962885,0.968218,1.126249,0.143168,0.949050,0.966107,0.929455,0.942733,0.948652
std,0.258350,0.108539,0.072883,0.061059,0.114165,0.098561,0.074819,0.056794,0.106263,0.056662,0.041565,0.099595,0.097527,0.057397
min,7.678455,0.007189,0.537155,0.514418,0.182063,0.304120,0.530242,1.028836,0.080031,0.525223,0.762887,0.030303,0.058824,0.515152
25%,8.088342,0.013420,0.974204,0.973714,0.971749,0.972730,0.974080,1.084183,0.085904,0.955490,0.974684,0.939394,0.953560,0.955039
50%,8.212079,0.029650,0.997240,0.998202,0.995964,0.997082,0.997176,1.115432,0.100861,0.967359,0.981250,0.951515,0.966154,0.967037
75%,8.364777,0.080368,1.000000,1.000000,1.000000,1.000000,1.000000,1.166187,0.146930,0.970326,0.987441,0.951515,0.969136,0.969944
max,9.421900,0.666314,1.000000,1.000000,1.000000,1.000000,1.000000,1.266755,0.704867,0.973294,1.000000,0.957576,0.972308,0.972974
