, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000,34.000000
mean,10.954149,0.031799,0.990638,0.993980,0.991644,0.992807,0.990198,0.293404,0.244480,0.919118,0.916900,1.000000,0.950736,0.878676
std,0.674051,0.085005,0.035195,0.026788,0.027418,0.027045,0.038640,0.070235,0.276086,0.138361,0.139861,0.000000,0.083517,0.207541
min,9.794282,0.002295,0.796341,0.845865,0.841121,0.843486,0.776701,0.259745,0.000441,0.666667,0.666667,1.000000,0.800000,0.500000
25%,10.584049,0.003914,0.996646,1.000000,0.994860,0.997423,0.997225,0.270402,0.001560,0.895833,0.866873,1.000000,0.928139,0.843750
50%,10.816468,0.006875,1.000000,1.000000,1.000000,1.000000,1.000000,0.278511,0.098147,1.000000,1.000000,1.000000,1.000000,1.000000
75%,11.086013,0.015387,1.000000,1.000000,1.000000,1.000000,1.000000,0.291518,0.558767,1.000000,1.000000,1.000000,1.000000,1.000000
max,13.427970,0.479430,1.000000,1.000000,1.000000,1.000000,1.000000,0.681238,0.675640,1.000000,1.000000,1.000000,1.000000,1.000000
