, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,667.478690,0.109020,0.967922,0.987270,0.978383,0.982610,39.402436,0.885320,0.815838,0.917242,0.902962,0.909741
std,17.258417,0.224695,0.078466,0.031175,0.055879,0.044479,1.260601,0.156951,0.038124,0.020143,0.031787,0.021736
min,622.141802,0.002077,0.540770,0.803897,0.631209,0.707163,35.820453,0.639089,0.617864,0.855150,0.733357,0.794510
25%,660.170306,0.004780,0.986461,0.993976,0.991536,0.992818,39.257364,0.776262,0.809940,0.899172,0.904859,0.907708
50%,666.433798,0.011009,0.998800,0.999250,0.999044,0.999199,39.578059,0.889367,0.830983,0.926566,0.909398,0.918837
75%,677.533418,0.070759,0.999744,0.999845,0.999845,0.999845,39.869837,1.007696,0.837475,0.932961,0.916429,0.920798
max,716.291380,1.224662,0.999808,0.999948,0.999897,0.999922,42.874004,1.518913,0.843743,0.943846,0.945532,0.925443
