, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.000000,11.000000
mean,98.369581,0.362822,0.848316,0.888747,0.894901,0.891223,0.816751,3.795269,0.980326,0.211538,0.000000,0.000000,,0.500000
std,5.432115,0.116537,0.065969,0.034209,0.070234,0.051741,0.065447,0.218074,0.216661,0.000000,0.000000,0.000000,,0.000000
min,91.654877,0.238025,0.687094,0.827856,0.699735,0.758423,0.678528,3.407385,0.698031,0.211538,0.000000,0.000000,,0.500000
25%,94.201176,0.277719,0.821727,0.867681,0.880291,0.873939,0.782046,3.692525,0.778687,0.211538,0.000000,0.000000,,0.500000
50%,95.727827,0.334238,0.863510,0.892348,0.923280,0.904854,0.825743,3.750254,1.004941,0.211538,0.000000,0.000000,,0.500000
75%,101.852845,0.418552,0.890436,0.913580,0.933201,0.922823,0.861460,3.877437,1.164393,0.211538,0.000000,0.000000,,0.500000
max,107.038965,0.621447,0.910864,0.927461,0.947090,0.937173,0.886318,4.229148,1.276611,0.211538,0.000000,0.000000,,0.500000
