, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,24.000000,25.000000
mean,10.809454,0.453344,0.901030,0.910772,0.950431,0.930053,0.870479,0.717575,0.622768,0.865714,0.960000,0.834118,0.903353,0.917059
std,0.216388,0.112186,0.042376,0.033949,0.028592,0.029621,0.052920,0.040219,0.172554,0.237288,0.200000,0.293121,0.216188,0.146560
min,10.566559,0.325627,0.737127,0.794776,0.835294,0.814532,0.676419,0.699718,0.322598,0.190476,0.000000,0.000000,0.111111,0.500000
25%,10.654809,0.374471,0.894309,0.901099,0.945098,0.925144,0.862900,0.702794,0.476579,0.904762,1.000000,0.882353,0.937500,0.941176
50%,10.717147,0.436914,0.907859,0.912548,0.952941,0.935115,0.880444,0.705008,0.653997,0.952381,1.000000,0.941176,0.969697,0.970588
75%,10.937281,0.483973,0.921409,0.935606,0.968627,0.943470,0.904334,0.711270,0.769791,1.000000,1.000000,1.000000,1.000000,1.000000
max,11.495626,0.860866,0.951219,0.947170,0.984314,0.965385,0.930753,0.893435,0.879418,1.000000,1.000000,1.000000,1.000000,1.000000
