, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000
mean,10.930934,0.477454,0.896043,0.903913,0.951529,0.926891,0.861730,0.724388,0.631917,0.951429,0.997778,0.945556,0.964422,0.966111
std,0.466131,0.143914,0.035020,0.031478,0.023526,0.024193,0.046497,0.073297,0.157381,0.119539,0.007691,0.139692,0.094164,0.072289
min,10.479272,0.334919,0.783198,0.830189,0.862745,0.846154,0.734004,0.678551,0.358837,0.547619,0.972222,0.472222,0.641509,0.736111
25%,10.603519,0.380450,0.878049,0.882784,0.941176,0.915254,0.832198,0.692858,0.487385,0.976190,1.000000,0.972222,0.985915,0.986111
50%,10.708440,0.433180,0.905149,0.911877,0.956863,0.931238,0.870279,0.699357,0.650417,1.000000,1.000000,1.000000,1.000000,1.000000
75%,11.275566,0.526984,0.924119,0.928571,0.968627,0.945946,0.900980,0.706481,0.756622,1.000000,1.000000,1.000000,1.000000,1.000000
max,12.387389,1.031613,0.937669,0.942085,0.976471,0.955854,0.913674,0.985001,0.854297,1.000000,1.000000,1.000000,1.000000,1.000000
