, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,24.000000,25.000000
mean,10.849128,0.413643,0.907892,0.911743,0.962317,0.936205,0.871609,0.698218,0.573682,0.890476,0.878152,0.954118,0.952451,0.787059
std,0.478129,0.118879,0.038515,0.033160,0.021792,0.026082,0.051945,0.053493,0.189003,0.146611,0.183673,0.199495,0.008988,0.071573
min,10.416245,0.296677,0.762162,0.808664,0.864865,0.835821,0.693694,0.667524,0.281044,0.190476,0.000000,0.000000,0.931507,0.500000
25%,10.558595,0.336197,0.900000,0.902174,0.961390,0.930841,0.859073,0.677864,0.395660,0.904762,0.894737,1.000000,0.944444,0.750000
50%,10.694719,0.365287,0.924324,0.926199,0.965251,0.946565,0.894466,0.681218,0.597216,0.928571,0.918919,1.000000,0.957747,0.812500
75%,11.020161,0.462997,0.929730,0.933824,0.969112,0.950758,0.903475,0.689599,0.735540,0.928571,0.918919,1.000000,0.957747,0.812500
max,12.517255,0.846165,0.940541,0.947170,0.984556,0.958333,0.921493,0.880164,0.900772,0.952381,0.944444,1.000000,0.971429,0.875000
