, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000,24.000000,25.000000
mean,11.715620,0.389601,0.918808,0.920270,0.967471,0.943239,0.887307,0.778674,0.583962,0.883810,0.921782,0.899429,0.937367,0.852571
std,0.682259,0.090051,0.038505,0.028607,0.025905,0.026709,0.047456,0.075090,0.188235,0.196617,0.192596,0.248276,0.121617,0.098000
min,10.769084,0.294204,0.764228,0.812500,0.859922,0.835539,0.702283,0.686485,0.287815,0.166667,0.000000,0.000000,0.409091,0.500000
25%,11.041916,0.329249,0.913279,0.915129,0.961089,0.939394,0.879812,0.712045,0.428226,0.952381,0.945946,0.971429,0.971429,0.857143
50%,11.668167,0.365841,0.929539,0.929368,0.972763,0.950570,0.901560,0.765039,0.575667,0.952381,0.958333,1.000000,0.972222,0.857143
75%,12.135881,0.432279,0.940379,0.933579,0.984436,0.958333,0.911861,0.838319,0.738399,0.952381,0.971429,1.000000,0.972222,0.914286
max,13.392825,0.677963,0.959350,0.951493,0.992218,0.971429,0.938073,0.928769,0.901744,0.976190,1.000000,1.000000,0.985915,0.928571
