, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000,10.000000
mean,2.704532,0.091678,0.968524,0.971060,0.985317,0.978065,0.957145,0.336123,0.105320,0.957692,0.959851,0.987805,0.973550,0.916630
std,0.250089,0.128137,0.059280,0.048135,0.033933,0.041021,0.076690,0.074532,0.023222,0.012163,0.011020,0.012855,0.007643,0.021490
min,2.321274,0.012304,0.807799,0.842697,0.892857,0.867052,0.750167,0.261142,0.075411,0.942308,0.952381,0.975610,0.963856,0.896896
25%,2.488674,0.022701,0.974930,0.968224,0.996032,0.982410,0.959961,0.275670,0.092207,0.947115,0.952658,0.975610,0.966794,0.899944
50%,2.717266,0.039642,0.993036,0.992134,1.000000,0.995057,0.989662,0.325824,0.099990,0.961538,0.953488,0.987805,0.975900,0.909091
75%,2.899422,0.093262,0.997214,0.996047,1.000000,0.998020,0.995327,0.365916,0.119971,0.961538,0.970079,1.000000,0.976190,0.934035
max,3.083472,0.433105,1.000000,1.000000,1.000000,1.000000,1.000000,0.492017,0.152582,0.980769,0.976190,1.000000,0.987952,0.954545
