, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,0.506363,0.085405,0.974611,0.985052,0.970093,0.971429,0.976487,0.272154,0.105169,0.966667,0.989909,0.964118,0.972955,0.968487
std,0.143879,0.137442,0.094461,0.082547,0.137670,0.136159,0.081573,0.025634,0.111842,0.069065,0.033337,0.090395,0.080518,0.064568
min,0.429160,0.013163,0.341317,0.250000,0.009259,0.017857,0.479206,0.240639,0.029664,0.375000,0.809524,0.117647,0.210526,0.558823
25%,0.473166,0.020347,0.986527,1.000000,0.981481,0.989469,0.989583,0.262150,0.040263,0.958333,1.000000,0.941176,0.969697,0.970588
50%,0.488822,0.035496,1.000000,1.000000,1.000000,1.000000,1.000000,0.268951,0.061239,0.979167,1.000000,1.000000,0.984848,0.985294
75%,0.509872,0.080213,1.000000,1.000000,1.000000,1.000000,1.000000,0.276404,0.118556,1.000000,1.000000,1.000000,1.000000,1.000000
max,1.898619,0.970835,1.000000,1.000000,1.000000,1.000000,1.000000,0.489412,0.736823,1.000000,1.000000,1.000000,1.000000,1.000000
