, train_time, train_loss, train_acc, train_prec, train_recall, train_f1, train_auc, valid_time, valid_loss, valid_acc, valid_prec, valid_recall, valid_f1, valid_auc
count,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000
mean,0.558383,0.240795,0.908552,0.930483,0.934960,0.922219,0.890658,0.283966,0.367065,0.912885,0.941955,0.950976,0.937116,0.860942
std,0.136540,1.491969,0.122092,0.076754,0.173084,0.151420,0.103415,0.022098,1.836318,0.113901,0.041748,0.144169,0.115320,0.105317
min,0.454897,0.013675,0.295265,0.333333,0.003968,0.007843,0.492638,0.237966,0.093778,0.288462,0.788462,0.097561,0.177778,0.500000
25%,0.518045,0.020420,0.905292,0.921982,0.967262,0.934483,0.861287,0.272913,0.131434,0.903846,0.928924,0.975610,0.941176,0.805987
50%,0.549219,0.029306,0.948468,0.950000,0.980159,0.963903,0.927542,0.285503,0.151557,0.942308,0.953488,1.000000,0.964706,0.878603
75%,0.573549,0.057454,0.963788,0.965116,0.988095,0.974460,0.950327,0.296062,0.187207,0.980769,0.976190,1.000000,0.987952,0.954545
max,1.861389,14.689502,0.980501,0.994253,1.000000,0.986248,0.969979,0.376782,18.504408,0.980769,1.000000,1.000000,0.987952,0.954545
